name,day,vs,result,bat_order,position,start_member,ab,score,hit,2_hit,3_hit,homerun,tb,rbi,sb,cs,bb,hpp,ibb,so,gdp,sh,sf,avg,obp,slg,ops,pitch,avLI,RE24,WPA
³ª¼º¹ü,05-21,SK,L 4:9,3,RF,1,4,0,1,1,0,0,2,0,0,0,1,0,1,3,0,0,0,0.349,,0.583,0.978,23,1.44,-0.13,-0.045
³ª¼º¹ü,05-23,@³Ø¼¾,W 15:4,3,RF,1,5,2,3,2,0,0,5,4,0,0,1,0,0,0,0,0,0,0.356,,0.594,0.998,24,0.47,3.38,-0.022
³ª¼º¹ü,05-24,@³Ø¼¾,W 5:4,3,RF,1,5,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0.351,,0.595,0.993,16,0.84,0.11,0.056
³ª¼º¹ü,05-25,@³Ø¼¾,W 13:3,3,RF,1,5,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.347,,0.584,0.977,20,0.54,-0.95,-0.067
³ª¼º¹ü,05-26,ÇÑÈ­,W 5:3,3,RF,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.344,,0.574,0.963,12,1.86,-1.77,-0.184
³ª¼º¹ü,05-27,ÇÑÈ­,L 1:6,3,RF,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.347,,0.577,0.968,1,1.16,0.4,0.035
³ª¼º¹ü,05-28,ÇÑÈ­,L 1:8,9,PR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.347,,0.577,0.968,0,1.93,-0.54,-0.054
³ª¼º¹ü,06-21,@SK,W 2:1,3,RF,1,2,1,2,0,0,1,5,2,0,0,2,1,1,0,0,0,0,0.354,,0.596,1.001,14,1.44,1.9,0.214
³ª¼º¹ü,06-22,@SK,L 6:13,4,RF,1,4,1,3,1,0,1,7,3,0,0,0,0,0,0,0,0,0,0.361,,0.619,1.031,15,0.51,2.76,0.097
³ª¼º¹ü,06-23,KIA,W 4:1,4,RF,1,3,1,2,1,0,0,3,1,0,0,1,0,0,1,0,0,0,0.366,,0.624,1.042,14,0.66,1.77,0.054
³ª¼º¹ü,06-24,KIA,W 6:1,4,RF,1,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.361,,0.615,1.033,21,0.55,-0.47,-0.012
³ª¼º¹ü,06-25,KIA,W 9:6,4,RF,1,3,2,2,0,0,1,5,4,0,0,2,0,0,0,0,0,0,0.365,,0.63,1.056,20,2.36,3.59,0.513
³ª¼º¹ü,06-27,³Ø¼¾,W 7:2,4,RF,1,4,2,3,1,0,1,7,3,0,0,0,0,0,0,0,0,0,0.372,,0.651,1.082,15,0.57,3.01,0.302
³ª¼º¹ü,06-28,³Ø¼¾,W 9:3,4,RF,1,3,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0.367,,0.642,1.073,18,0.86,0.17,-0.039
³ª¼º¹ü,06-30,@·Ôµ¥,L 0:9,4,RF,1,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.365,,0.64,1.067,11,0.55,-0.21,0.017
³ª¼º¹ü,07-01,@·Ôµ¥,L 5:9,3,RF,1,5,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.361,,0.63,1.053,25,1.36,-1.26,-0.121
³ª¼º¹ü,07-02,@·Ôµ¥,L 1:2,3,RF,1,3,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0.361,,0.626,1.05,14,1.52,-0.11,0.037
³ª¼º¹ü,07-05,LG,L 5:12,3,RF,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.358,,0.621,1.042,9,1.29,-0.86,-0.07
³ª¼º¹ü,07-07,µÎ»ê,L 1:6,3,RF,1,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.359,,0.616,1.036,23,0.78,0.48,0.0
³ª¼º¹ü,07-09,µÎ»ê,W 9:4,4,RF,1,5,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.355,,0.612,1.028,15,1.08,-0.07,0.031
³ª¼º¹ü,07-11,@KIA,L 4:7,4,RF,1,4,2,4,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0.366,,0.622,1.049,17,0.43,2.11,0.107
³ª¼º¹ü,07-12,@KIA,L 6:7,4,RF,1,4,0,0,0,0,0,0,1,0,0,1,1,1,3,0,0,0,0.36,,0.612,1.037,25,1.52,-0.74,-0.029
³ª¼º¹ü,07-13,@KIA,L 1:7,4,RF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.354,,0.602,1.021,16,0.65,-1.03,-0.067
³ª¼º¹ü,07-18,@ÇÑÈ­,W 7:4,3,RF,1,4,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.353,,0.597,1.016,16,1.19,0.29,0.033
³ª¼º¹ü,07-19,@ÇÑÈ­,W 13:9,3,RF,1,5,3,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0.354,,0.593,1.013,27,0.54,0.61,-0.021
³ª¼º¹ü,07-20,@ÇÑÈ­,W 7:4,3,RF,1,5,2,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0.351,,0.593,1.01,26,0.6,-0.67,-0.013
³ª¼º¹ü,07-21,SK,W 10:6,3,RF,1,4,2,4,1,0,0,5,1,0,0,0,1,0,0,0,0,0,0.36,,0.603,1.029,14,0.37,2.9,0.126
³ª¼º¹ü,07-22,SK,W 8:2,3,RF,1,4,3,3,1,0,0,4,0,0,0,1,0,1,0,1,0,0,0.366,,0.609,1.041,16,0.38,0.1,0.098
³ª¼º¹ü,07-23,SK,W 8:1,3,RF,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.362,,0.602,1.032,13,0.73,-0.09,0.029
³ª¼º¹ü,07-25,@»ï¼º,L 1:3,3,RF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.357,,0.594,1.018,19,1.91,-1.51,-0.194
³ª¼º¹ü,07-26,@»ï¼º,L 1:5,3,RF,1,3,0,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0.36,,0.594,1.023,12,0.66,1.03,0.023
³ª¼º¹ü,07-27,@»ï¼º,W 7:0,3,RF,1,4,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0.362,,0.593,1.024,23,0.37,-0.08,0.036
³ª¼º¹ü,07-28,@kt,W 5:4,3,RF,1,4,2,4,1,0,2,11,3,1,0,1,0,1,0,0,0,0,0.371,,0.622,1.062,16,1.81,4.5,0.618
³ª¼º¹ü,07-29,@kt,L 3:4,3,RF,1,4,1,2,0,0,1,5,2,1,0,0,0,0,1,0,0,0,0.372,,0.631,1.071,11,1.63,1.52,0.278
³ª¼º¹ü,07-30,@kt,W 8:3,3,RF,1,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.37,,0.624,1.061,15,0.52,-0.48,-0.011
³ª¼º¹ü,08-01,ÇÑÈ­,W 7:6,3,RF,1,5,2,4,1,0,0,5,0,1,0,0,0,0,0,1,0,0,0.377,,0.63,1.072,12,2.03,0.18,0.184
³ª¼º¹ü,08-02,ÇÑÈ­,L 2:6,3,RF,1,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.378,,0.628,1.071,15,0.81,0.22,-0.017
