day,vs,inn,pitcher,batter,P,result,before,after,LEV,REa,WPs,WPe,WPa
2021-05-19,LG,7초,채지선,강진성,0-1,유격수 인필드 뜬공,"1사 1,2루 5:0","2사 1,2루 5:0",0.22,-0.505,2.6,3.1,-0.005
2021-05-19,LG,10초,송은범,강진성,1-0,우익수 뜬공,무사  5:5,1사  5:5,2.32,-0.258,50.0,55.9,-0.059
2021-05-20,LG,2초,정찬헌,강진성,1-1,유격수 내야안타,무사  3:0,무사 1루 3:0,0.54,0.398,21.8,19.7,0.021
2021-05-20,LG,3초,정찬헌,강진성,2-0,2루수 뜬공,"1사 1,3루 5:1","2사 1,3루 5:1",0.79,-0.705,10.9,13.7,-0.029
2021-05-20,LG,4초,최성훈,강진성,2-3,볼넷,2사 1루 9:1,"2사 1,2루 9:1",0.05,0.215,1.8,1.7,0.001
2021-05-20,LG,6초,최성훈,강진성,1-0,1루수 뜬공,1사  9:1,2사  9:1,0.02,-0.180,0.8,0.9,-0.001
2021-05-20,LG,8초,이정용,강진성,0-0,좌익수 2루타,1사  10:1,1사 2루 10:1,0.00,0.428,0.1,0.1,0.000
2021-05-21,키움,2초,브리검,강진성,1-2,2루수 병살타,무사 1루 0:0,2사  0:0,1.53,-0.836,46.2,54.0,-0.078
2021-05-21,키움,5초,브리검,강진성,0-1,우익수 뜬공,무사  0:0,1사  0:0,1.19,-0.258,50.0,53.0,-0.030
2021-05-22,키움,2초,요키시,강진성,2-3,2루수 땅볼,2사  0:0,이닝종료 0:0,0.42,-0.117,54.0,55.1,-0.011
2021-05-22,키움,4초,요키시,강진성,1-0,3루수 병살타,"1사 1,2루 1:6",이닝종료 1:6,1.19,-0.971,90.0,94.9,-0.049
2021-05-22,키움,7초,요키시,강진성,2-1,중견수 안타,무사 2루 1:8,무사 1루 2:8,0.21,0.764,98.5,97.5,0.010
2021-05-22,키움,8초,김태훈,강진성,0-1,중견수 안타,"2사 1,2루 2:8","2사 1,3루 3:8",0.17,1.072,99.3,98.5,0.008
2021-05-23,키움,6초,김태훈,강진성,1-1,3루수 땅볼,2사 만루 2:6,이닝종료 2:6,2.23,-0.815,89.5,95.3,-0.058
2021-05-23,키움,8초,양현,강진성,1-0,우익수 안타,"1사 1,2루 3:7","1사 1,2루 4:7",1.31,1.000,93.9,88.2,0.057
2021-05-26,삼성,1말,백정현,강진성,2-0,우익수 뜬공,2사 만루 1:1,이닝종료 1:1,2.81,-0.815,57.1,50.0,-0.071
2021-05-26,삼성,4말,백정현,강진성,0-1,투수 땅볼,2사  5:1,이닝종료 5:1,0.28,-0.117,10.8,10.0,-0.007
2021-05-26,삼성,6말,심창민,강진성,2-1,강진성/11148 : 삼진 아웃,2사 1루 6:1,이닝종료 6:1,0.34,-0.251,4.0,3.0,-0.010
2021-05-29,롯데,2초,박세웅,강진성,2-1,중견수 안타,1사 3루 2:0,1사 1루 3:0,1.10,0.590,26.1,21.7,0.044
2021-05-29,롯데,3초,스트레일리,강진성,2-1,강진성/11148 : 삼진 아웃,무사  0:3,1사  0:3,0.84,-0.258,79.9,82.0,-0.021
2021-05-29,롯데,4초,박세웅,강진성,2-2,강진성/11148 : 삼진 아웃,2사 1루 3:0,이닝종료 3:0,0.48,-0.251,19.7,21.1,-0.014
2021-05-29,롯데,5초,스트레일리,강진성,2-1,강진성/11148 : 삼진 아웃,2사 1루 0:8,이닝종료 0:8,0.07,-0.251,99.2,99.4,-0.002
2021-05-29,롯데,6초,박세웅,강진성,0-2,2루수 땅볼,1사 1루 3:0,2사 1루 3:0,0.56,-0.322,13.3,14.6,-0.014
2021-05-29,롯데,7초,김도규,강진성,1-1,중견수 안타,무사 1루 3:9,"무사 1,2루 3:9",0.40,0.620,97.5,95.7,0.018
2021-05-29,롯데,7초,진명호,강진성,2-3,강진성/11148 : 삼진 아웃,"2사 2,3루 6:0",이닝종료 6:0,0.13,-0.634,1.5,1.9,-0.004
2021-05-29,롯데,8초,구승민,강진성,0-0,중견수 뜬공,1사  7:9,2사  7:9,0.97,-0.180,90.3,92.7,-0.024
2021-05-30,롯데,2초,김진욱,강진성,2-3,볼넷,무사  3:2,무사 1루 3:2,0.82,0.398,39.5,36.2,0.033
2021-05-30,롯데,4초,김진욱,강진성,1-1,중견수 안타,무사 1루 4:3,"무사 1,2루 4:3",1.45,0.620,33.9,28.5,0.054
2021-05-30,롯데,6초,김도규,강진성,1-1,좌익수 2루타,2사  5:4,2사 2루 5:4,0.48,0.227,38.0,35.4,0.026
2021-05-30,롯데,9초,김원중,강진성,1-2,1루수 파울 뜬공,무사  5:4,1사  5:4,0.66,-0.258,16.2,17.9,-0.017
2021-06-01,두산,2말,미란다,강진성,2-1,3루수 뜬공,무사  0:0,1사  0:0,0.92,-0.258,55.1,52.8,-0.023
2021-06-01,두산,4말,미란다,강진성,2-0,강진성/11148 : 삼진 아웃,1사  2:0,2사  2:0,0.80,-0.180,27.7,25.8,-0.020
2021-06-01,두산,6말,미란다,강진성,2-0,좌익수 뜬공,무사  2:3,1사  2:3,0.83,-0.258,74.3,72.2,-0.021
2021-06-01,두산,9말,김강률,강진성,2-3,우익수 뜬공,무사  4:3,1사  4:3,3.47,-0.258,20.0,11.2,-0.088
2021-06-02,두산,3말,곽빈,강진성,2-1,좌익수 2루타,무사  0:0,무사 2루 0:0,0.99,0.634,55.5,62.3,0.068
2021-06-02,두산,4말,곽빈,강진성,2-3,몸에 맞는 볼,"1사 1,2루 1:2",1사 만루 1:2,1.78,0.679,72.2,77.5,0.053
2021-06-02,두산,6말,이승진,강진성,1-1,2루수 땅볼,무사  3:3,1사  3:3,1.32,-0.258,57.5,54.2,-0.034
2021-06-02,두산,7말,김명신,강진성,0-1,우익수 뜬공,1사 1루 4:7,2사 1루 4:7,0.27,-0.322,94.4,93.7,-0.007
2021-06-04,한화,2말,카펜터,강진성,2-1,삼진,무사 3루 0:2,1사 3루 0:2,0.68,-0.499,81.6,78.5,-0.031
2021-06-04,한화,3말,카펜터,강진성,1-1,좌익수 파울 뜬공,"2사 2,3루 1:4",이닝종료 1:4,0.99,-0.634,84.7,81.8,-0.029
2021-06-04,한화,6말,김종수,강진성,1-3,볼넷,무사  1:4,무사 1루 1:4,0.30,0.398,91.4,92.5,0.011
2021-06-04,한화,7말,장웅정,강진성,2-2,강진성/11148 : 삼진 아웃,2사 2루 2:5,이닝종료 2:5,0.32,-0.344,94.0,93.1,-0.009
2021-06-05,한화,2말,김기중,강진성,1-1,중견수 뜬공,무사 1루 0:0,1사 1루 0:0,1.51,-0.380,58.8,55.3,-0.035
2021-06-05,한화,4말,김기중,강진성,1-1,중견수 안타,1사  0:1,1사 1루 0:1,0.61,0.276,66.6,68.9,0.023
2021-06-05,한화,6말,배동현,강진성,2-0,강진성/11148 : 삼진 아웃,무사 1루 0:3,1사 1루 0:3,0.46,-0.380,92.5,91.4,-0.011
2021-06-05,한화,7말,윤호솔,강진성,0-0,우익수 뜬공,2사 1루 1:6,이닝종료 1:6,0.05,-0.251,98.5,98.3,-0.001
2021-06-06,한화,6말,이충호,강진성,1-3,볼넷,1사 1루 1:4,"1사 1,2루 1:4",0.39,0.398,91.4,92.6,0.011
2021-06-06,한화,7말,강재민,강진성,0-1,중견수 뜬공,1사 1루 9:9,2사 1루 9:9,2.01,-0.322,59.0,54.2,-0.048
2021-06-06,한화,9말,정우람,강진성,1-2,우익수 뜬공,1사  13:10,2사  13:10,0.50,-0.180,1.8,0.5,-0.013
2021-06-08,LG,2초,켈리,강진성,2-0,우익수 뜬공,무사 1루 1:0,1사 1루 1:0,1.33,-0.380,36.2,39.3,-0.031
2021-06-08,LG,4초,켈리,강진성,2-1,강진성/11148 : 삼진 아웃,2사  1:0,이닝종료 1:0,0.43,-0.117,41.4,42.5,-0.011
2021-06-08,LG,7초,이정용,강진성,2-0,투수 번트 아웃,무사 1루 1:0,2사  1:0,1.52,-0.836,26.7,34.7,-0.080
2021-06-09,LG,2초,이우찬,강진성,2-2,우익수 안타,2사  0:2,2사 1루 0:2,0.39,0.134,74.0,72.7,0.013
2021-06-09,LG,4초,이상영,강진성,2-3,몸에 맞는 볼,무사  2:4,무사 1루 2:4,1.04,0.398,73.3,68.9,0.044
2021-06-09,LG,6초,송은범,강진성,2-2,강진성/11148 : 삼진 아웃,무사  2:6,1사  2:6,0.64,-0.258,92.1,93.7,-0.016
2021-06-09,LG,7초,정우영,강진성,1-0,포수 땅볼,2사 2루 3:6,이닝종료 3:6,0.90,-0.344,91.7,94.3,-0.026
2021-06-10,LG,3초,이민호,강진성,2-0,중견수 2루타,무사  0:0,무사 2루 0:0,0.99,0.634,50.0,43.2,0.068
2021-06-10,LG,4초,이민호,강진성,2-2,좌익수 홈런,2사 2루 2:0,2사  4:0,0.95,1.773,27.9,13.5,0.144
2021-06-10,LG,7초,진해수,강진성,1-0,중견수 뜬공,1사  4:0,2사  4:0,0.14,-0.180,6.2,6.6,-0.004
2021-06-10,LG,9초,손주영,강진성,2-3,좌익수 안타,1사 2루 5:0,1사 1루 6:0,0.04,0.848,0.5,0.2,0.003
2021-06-11,삼성,2초,최채흥,강진성,2-3,3루수 땅볼,무사  0:0,1사  0:0,0.93,-0.258,50.0,52.4,-0.024
2021-06-11,삼성,4초,최채흥,강진성,1-1,우익수 뜬공,1사  1:1,2사  1:1,0.78,-0.180,52.7,54.7,-0.019
2021-06-11,삼성,6초,이승현,강진성,1-2,우익수 안타,무사 1루 2:4,"무사 1,2루 2:4",2.13,0.620,73.0,64.5,0.085
2021-06-11,삼성,7초,최지광,강진성,1-0,좌익수 뜬공,"2사 1,2루 2:4",이닝종료 2:4,2.49,-0.466,82.5,89.0,-0.064
2021-06-11,삼성,9초,오승환,강진성,1-3,볼넷,1사 3루 4:4,"1사 1,3루 4:4",4.44,0.260,32.8,31.5,0.013
2021-06-12,삼성,2초,원태인,강진성,0-1,2루수 인필드 뜬공,1사 만루 0:0,2사 만루 0:0,2.68,-0.835,39.7,47.5,-0.078
2021-06-12,삼성,5초,원태인,강진성,1-1,좌익수 2루타,1사  0:4,1사 2루 0:4,0.42,0.428,91.7,88.9,0.028
2021-06-12,삼성,7초,원태인,강진성,0-0,1루수 파울 뜬공,2사  1:4,이닝종료 1:4,0.32,-0.117,93.5,94.3,-0.008
2021-06-12,삼성,9초,우규민,강진성,1-0,좌익수 안타,2사 2루 1:4,"2사 1,3루 1:4",0.44,0.194,98.7,96.5,0.022
2021-06-13,삼성,2초,백정현,강진성,2-0,좌익수 파울 뜬공,무사  0:0,1사  0:0,0.93,-0.258,50.0,52.4,-0.024
2021-06-13,삼성,4초,백정현,강진성,2-2,2루수 병살타,무사 1루 0:0,2사  0:0,1.76,-0.836,45.7,54.7,-0.090
2021-06-13,삼성,7초,최지광,강진성,1-2,중견수 뜬공,무사  0:2,1사  0:2,1.34,-0.258,81.9,85.3,-0.034
2021-06-13,삼성,8초,심창민,강진성,2-2,좌익수 안타,무사  3:2,1사  3:2,0.90,-0.258,25.2,27.5,-0.023
2021-06-13,삼성,9초,오승환,강진성,2-2,강진성/11148 : 삼진 아웃,"2사 2,3루 3:5",이닝종료 3:5,3.84,-0.634,88.6,100.0,-0.114
2021-06-16,KT,2말,고영표,강진성,1-2,중견수 안타,1사  2:3,1사 1루 2:3,0.57,0.276,63.8,65.9,0.022
2021-06-16,KT,4말,고영표,강진성,2-1,삼진,2사 1루 2:3,이닝종료 2:3,0.79,-0.251,66.3,64.1,-0.022
2021-06-16,KT,7말,김민수,강진성,1-0,2루수 땅볼,2사  7:3,이닝종료 7:3,0.22,-0.117,4.0,3.5,-0.006
2021-06-17,KT,3말,데스파이네,강진성,2-1,강진성/11148 : 삼진 아웃,무사 1루 1:0,1사 1루 1:0,1.79,-0.380,47.8,43.7,-0.041
2021-06-17,KT,5말,데스파이네,강진성,2-2,강진성/11148 : 삼진 아웃,1사  1:0,2사  1:0,0.97,-0.180,37.8,35.4,-0.024
2021-06-17,KT,7말,심재민,강진성,1-3,볼넷,1사  1:3,1사 1루 1:3,0.31,0.276,87.9,89.0,0.011
2021-06-17,KT,8말,이창재,강진성,1-0,우익수 안타,"무사 2,3루 1:7","무사 1,3루 1:8",0.01,0.852,99.9,100.0,0.000
2021-06-18,키움,2말,안우진,강진성,2-1,3루수 땅볼,2사  0:0,이닝종료 0:0,0.43,-0.117,51.1,50.0,-0.011
2021-06-18,키움,5말,안우진,강진성,2-0,중견수 뜬공,무사  0:1,1사  0:1,0.84,-0.258,71.0,68.9,-0.021
2021-06-18,키움,7말,양현,강진성,2-1,3루수 땅볼,1사 1루 0:1,2사 1루 0:1,0.99,-0.322,79.2,76.9,-0.024
2021-06-18,키움,8말,문성현,강진성,2-3,좌익수 뜬공,2사 3루 0:5,이닝종료 0:5,0.04,-0.387,99.5,99.4,-0.001
2021-06-19,키움,2말,브리검,강진성,1-2,좌익수 안타,무사  0:3,무사 1루 0:3,0.46,0.398,82.5,84.3,0.018
2021-06-19,키움,4말,브리검,강진성,2-1,중견수 안타,1사 1루 0:4,"1사 1,2루 0:4",0.35,0.398,91.5,92.5,0.010
2021-06-19,키움,6말,김태훈,강진성,0-3,볼넷,1사 3루 5:4,"1사 1,3루 5:4",2.49,0.260,47.7,51.0,0.033
2021-06-19,키움,8말,김성진,강진성,1-1,3루수 파울 뜬공,무사 1루 12:5,1사 1루 12:5,0.17,-0.380,0.8,0.5,-0.004
2021-06-20,키움,1말,요키시,강진성,2-0,2루수 뜬공,1사  0:0,2사  0:0,0.62,-0.180,52.6,51.0,-0.015
2021-06-20,키움,3말,요키시,강진성,2-1,강진성/11148 : 삼진 아웃,"2사 1,3루 0:0",이닝종료 0:0,2.00,-0.538,55.5,50.0,-0.055
2021-06-20,키움,5말,요키시,강진성,1-0,투수 병살타,"1사 1,3루 4:2",이닝종료 4:2,2.60,-1.243,37.6,21.7,-0.159
2021-06-20,키움,8말,김태훈,강진성,1-3,볼넷,무사  8:2,무사 1루 8:2,0.16,0.398,1.0,1.7,0.008
2021-06-20,키움,9말,조상우,강진성,2-1,유격수 병살타,1사 1루 8:4,이닝종료 8:4,0.50,-0.573,1.9,0.0,-0.019
2021-06-22,롯데,3초,박세웅,강진성,1-1,중견수 뜬공,무사  0:0,1사  0:0,0.99,-0.258,50.0,52.5,-0.025
2021-06-22,롯데,5초,박세웅,강진성,2-3,중견수 안타,무사  2:0,무사 1루 2:0,0.69,0.398,24.5,21.8,0.027
2021-06-22,롯데,7초,김도규,강진성,1-3,볼넷,무사  3:0,무사 1루 3:0,0.35,0.398,10.3,9.0,0.014
2021-06-22,롯데,8초,김건국,강진성,1-3,3루수 병살타,무사 만루 4:0,2사 1루 5:0,0.20,-1.166,1.4,1.9,-0.005
2021-06-23,롯데,2초,노경은,강진성,2-1,유격수 땅볼,1사  2:0,2사  2:0,0.49,-0.180,31.6,32.9,-0.012
2021-06-23,롯데,5초,노경은,강진성,2-3,볼넷,무사  2:2,무사 1루 2:2,1.19,0.398,50.0,45.3,0.047
2021-06-23,롯데,7초,구승민,강진성,1-2,3루수 땅볼,무사  2:7,1사  2:7,0.35,-0.258,97.0,97.9,-0.009
2021-06-24,롯데,2초,프랑코,강진성,2-0,삼진,2사  1:0,이닝종료 1:0,0.39,-0.117,43.0,44.0,-0.010
2021-06-24,롯데,5초,프랑코,강진성,2-1,우익수 안타,1사 1루 1:2,"1사 1,2루 1:2",1.69,0.398,63.7,58.5,0.052
2021-06-24,롯데,6초,프랑코,강진성,0-2,우익수 뜬공,2사 2루 4:4,이닝종료 4:4,1.84,-0.344,52.3,57.5,-0.052
2021-06-24,롯데,8초,김창훈,강진성,2-1,강진성/11148 : 삼진 아웃,1사  6:4,2사  6:4,0.38,-0.180,14.6,15.6,-0.009
2021-06-25,SSG,8말,박민호,강진성,1-0,우익수 뜬공,2사  10:8,이닝종료 10:8,0.63,-0.117,9.0,7.4,-0.017
2021-06-26,SSG,2말,김정빈,강진성,1-2,3루수 땅볼,2사 1루 4:0,이닝종료 4:0,0.61,-0.251,15.5,13.8,-0.017
2021-06-26,SSG,3말,김정빈,강진성,1-3,좌익수 홈런,"2사 1,2루 4:4",2사  4:7,1.86,2.651,54.8,82.4,0.276
2021-06-26,SSG,5말,최민준,강진성,1-1,중견수 2루타,[실책포함],1사 1루 7:7,1사 2루 7:8,1.56,1.152,56.9,72.9
2021-06-26,SSG,7말,김태훈,강진성,1-0,2루수 땅볼,2사 1루 8:9,이닝종료 8:9,0.73,-0.251,76.9,74.8,-0.020
2021-06-26,SSG,9말,서진용,강진성,,고의4구,2사 2루 10:10,"2사 1,2루 10:10",3.83,0.122,60.8,61.2,0.004
2021-06-26,SSG,12말,하재훈,강진성,1-1,강진성/11148 : 중견수 직선타 아웃,무사  10:10,1사  10:10,2.26,-0.258,63.7,58.0,-0.058
2021-06-27,SSG,3말,이태양,강진성,2-2,3루수 땅볼,무사  1:0,1사  1:0,1.08,-0.258,43.4,40.7,-0.027
2021-06-27,SSG,5말,이태양,강진성,1-0,유격수 뜬공,2사  1:0,이닝종료 1:0,0.64,-0.117,35.4,33.7,-0.016
2021-06-27,SSG,7말,김택형,강진성,1-2,중견수 2루타,2사  3:3,2사 2루 3:3,0.81,0.227,52.1,56.4,0.043
2021-06-29,KIA,2초,임기영,강진성,1-1,1루수 파울 뜬공,2사 1루 1:0,이닝종료 1:0,0.76,-0.251,41.9,44.0,-0.021
2021-06-29,KIA,4초,임기영,강진성,0-1,좌익수 2루타,2사  3:2,2사 2루 3:2,0.43,0.227,41.4,39.1,0.023
2021-06-29,KIA,6초,이승재,강진성,1-2,좌익수 홈런,"2사 1,2루 3:3",2사  6:3,2.53,2.651,51.0,15.2,0.358
2021-06-29,KIA,8초,서덕원,강진성,2-1,강진성/11148 : 삼진 아웃,1사  7:3,2사  7:3,0.10,-0.180,3.8,4.1,-0.003
2021-07-01,KIA,2초,브룩스,강진성,1-0,중견수 뜬공,2사 1루 1:1,이닝종료 1:1,0.84,-0.251,52.7,55.1,-0.024
2021-07-01,KIA,5초,윤중현,강진성,1-2,우익수 희생플라이,"무사 1,3루 1:6",1사 1루 2:6,1.35,-0.331,86.7,89.8,-0.031
2021-07-01,KIA,6초,박진태,강진성,2-0,강진성/11148 : 삼진 아웃,"1사 1,2루 3:6","2사 1,2루 3:6",2.22,-0.505,82.0,87.1,-0.051
2021-07-01,KIA,8초,장현식,강진성,1-0,3루수 뜬공,1사 1루 3:6,2사 1루 3:6,1.14,-0.322,92.8,95.6,-0.028
2021-07-02,삼성,2말,백정현,강진성,0-2,우익수 뜬공,2사  1:1,이닝종료 1:1,0.43,-0.117,51.1,50.0,-0.011
2021-07-02,삼성,5말,백정현,강진성,0-1,좌익수 안타,2사  2:1,2사 1루 2:1,0.64,0.134,35.4,37.3,0.019
2021-07-02,삼성,7말,백정현,강진성,1-3,볼넷,2사 3루 2:1,"2사 1,3루 2:1",3.06,0.151,33.6,36.1,0.025
2021-07-02,삼성,9말,오승환,강진성,0-1,우익수 뜬공,1사  5:2,2사  5:2,0.50,-0.180,1.8,0.5,-0.013
2021-07-04,삼성,2말,몽고메리,강진성,2-0,강진성/11148 : 삼진 아웃,1사 1루 2:0,2사 1루 2:0,1.29,-0.322,34.0,30.9,-0.031
2021-07-04,삼성,4말,이승현,강진성,2-2,유격수 땅볼,2사  3:0,이닝종료 3:0,0.38,-0.117,17.0,16.0,-0.010
2021-07-06,두산,2초,최원준,강진성,0-2,좌익수 안타,[실책포함],1사  1:0,1사 2루 1:0,0.59,0.428,41.6,37.7
2021-07-06,두산,4초,최원준,강진성,2-2,강진성/11148 : 삼진 아웃,무사  5:0,1사  5:0,0.24,-0.258,7.6,8.2,-0.006
2021-07-06,두산,5초,김명신,강진성,2-1,우익수 뜬공,"1사 1,3루 6:2","2사 1,3루 6:2",0.66,-0.705,7.6,10.0,-0.024
2021-07-06,두산,7초,박웅,강진성,2-1,유격수 땅볼,2사 2루 7:2,이닝종료 7:2,0.16,-0.344,3.2,3.7,-0.005
2021-07-07,두산,2초,미란다,강진성,1-0,좌익수 안타,2사  0:1,2사 1루 0:1,0.42,0.134,64.7,63.3,0.013
2021-07-07,두산,5초,미란다,강진성,1-0,우익수 파울 뜬공,1사  0:3,2사  0:3,0.61,-0.180,86.3,87.8,-0.015
2021-07-07,두산,7초,미란다,강진성,1-1,우익수 안타,"2사 1,2루 0:4","2사 1,2루 1:4",0.97,1.000,94.6,90.1,0.046
2021-07-07,두산,9초,홍건희,강진성,2-1,강진성/11148 : 삼진 아웃,무사 1루 2:4,1사 1루 2:4,2.87,-0.380,85.1,91.5,-0.064
2021-08-10,롯데,2말,스트레일리,강진성,1-1,3루수 내야안타,무사  2:0,무사 1루 2:0,0.97,0.398,33.7,37.8,0.041
2021-08-10,롯데,4말,스트레일리,강진성,2-0,중견수 뜬공,2사 1루 3:0,이닝종료 3:0,0.81,-0.251,18.3,16.0,-0.023
2021-08-10,롯데,7말,스트레일리,강진성,2-1,2루수 뜬공,1사  4:0,2사  4:0,0.43,-0.180,5.1,4.0,-0.011
2021-08-10,롯데,9말,김원중,강진성,2-2,강진성/11148 : 삼진 아웃,1사  5:2,2사  5:2,0.50,-0.180,1.8,0.5,-0.013
2021-08-11,롯데,2말,프랑코,강진성,0-1,중견수 뜬공,1사 1루 4:0,2사 1루 4:0,0.97,-0.322,17.8,15.5,-0.023
2021-08-11,롯데,4말,프랑코,강진성,2-1,우익수 뜬공,1사 1루 4:1,2사 1루 4:1,1.29,-0.322,21.4,18.3,-0.031
2021-08-11,롯데,6말,나균안,강진성,1-3,우익수 홈런,무사  5:3,무사  5:4,1.38,1.000,25.5,39.2,0.138
2021-08-11,롯데,8말,최준용,강진성,0-1,좌익수 뜬공,1사 2루 5:4,2사 2루 5:4,3.51,-0.381,36.0,26.1,-0.098
2021-08-12,롯데,2말,최영환,강진성,1-0,우익수 안타,1사 1루 0:0,"1사 1,3루 0:0",1.22,0.670,55.3,62.0,0.067
2021-08-12,롯데,4말,최영환,강진성,1-1,2루수 파울 뜬공,2사 1루 4:1,이닝종료 4:1,0.81,-0.251,18.3,16.0,-0.023
2021-08-12,롯데,6말,진명호,강진성,1-2,좌익수 안타,1사 만루 4:1,"1사 1,2루 4:3",3.84,1.321,29.4,45.9,0.165
2021-08-12,롯데,8말,김도규,강진성,2-1,3루수 땅볼,1사  4:5,2사  4:5,0.40,-0.180,85.5,84.5,-0.010
2021-08-13,한화,2초,김민우,강진성,2-2,중견수 안타,무사  1:0,무사 1루 1:0,0.82,0.398,39.5,36.2,0.033
2021-08-13,한화,4초,김민우,강진성,0-0,3루수 번트안타,무사  1:0,무사 1루 1:0,0.90,0.398,37.5,33.9,0.036
2021-08-13,한화,5초,임준섭,강진성,2-1,강진성/11148 : 삼진 아웃,2사  3:1,이닝종료 3:1,0.34,-0.117,27.5,28.4,-0.009
2021-08-13,한화,8초,신정락,강진성,0-1,3루수 땅볼,무사  4:1,1사  4:1,0.26,-0.258,6.9,7.6,-0.007
2021-08-14,한화,2초,장시환,강진성,2-2,좌익수 뜬공,무사  2:3,1사  2:3,0.97,-0.258,60.5,63.0,-0.024
2021-08-14,한화,3초,서균,강진성,0-1,몸에 맞는 볼,무사 1루 4:3,"무사 1,2루 4:3",1.39,0.620,35.2,30.0,0.052
2021-08-14,한화,4초,김기중,강진성,1-3,볼넷,2사 1루 7:7,"2사 1,2루 7:7",1.00,0.215,53.2,50.8,0.024
2021-08-14,한화,6초,신정락,강진성,2-1,삼진,2사  7:8,이닝종료 7:8,0.67,-0.117,72.5,74.3,-0.017
2021-08-14,한화,8초,강재민,강진성,0-2,유격수 땅볼,2사 1루 8:8,이닝종료 8:8,1.80,-0.251,55.6,60.7,-0.051
2021-08-15,한화,2초,카펜터,강진성,0-1,우익수 파울 뜬공,무사  0:0,1사  0:0,0.93,-0.258,50.0,52.4,-0.024
2021-08-15,한화,4초,카펜터,강진성,1-1,몸에 맞는 볼,2사  0:0,2사 1루 0:0,0.51,0.134,54.7,53.2,0.015
2021-08-15,한화,7초,윤호솔,강진성,2-2,2루수 뜬공,무사  0:2,1사  0:2,1.34,-0.258,81.9,85.3,-0.034
2021-08-15,한화,9초,정우람,강진성,1-3,볼넷,1사 1루 1:2,"1사 1,2루 1:2",3.87,0.398,82.9,71.9,0.110
2021-08-18,SSG,1초,최민준,강진성,2-1,3루수 땅볼,"2사 1,2루 0:0",이닝종료 0:0,1.62,-0.466,50.6,54.8,-0.042
2021-08-18,SSG,4초,최민준,강진성,0-2,중견수 2루타,무사  1:1,무사 2루 1:1,1.08,0.634,50.0,42.6,0.074
2021-08-18,SSG,6초,장지훈,강진성,0-1,1루수 안타,1사  1:2,1사 1루 1:2,1.04,0.276,70.0,65.8,0.041
2021-08-18,SSG,8초,박민호,강진성,2-3,몸에 맞는 볼,1사  1:6,1사 1루 1:6,0.14,0.276,99.0,98.3,0.007
2021-08-19,SSG,5초,김상수,강진성,0-0,좌익수 2루타,"1사 1,2루 6:3","1사 2,3루 7:3",1.00,1.496,14.1,7.0,0.071
2021-04-04,LG,1말,켈리,이명기,2-3,좌익수 뜬공,무사  0:0,1사  0:0,0.87,-0.258,54.8,52.6,-0.022
2021-04-04,LG,3말,켈리,이명기,2-3,이명기/10119 : 삼진 아웃,무사 1루 1:1,1사 1루 1:1,1.61,-0.380,59.5,55.7,-0.037
2021-04-04,LG,5말,켈리,이명기,1-0,2루수 땅볼,1사 2루 1:1,2사 3루 1:1,1.64,-0.338,59.2,55.3,-0.040
2021-04-04,LG,7말,함덕주,이명기,1-3,볼넷,1사 1루 2:1,"1사 1,2루 2:1",2.58,0.398,36.5,44.0,0.075
2021-04-06,롯데,1말,프랑코,이명기,1-3,2루수 병살타,무사 1루 0:0,2사  0:0,1.42,-0.836,58.3,51.0,-0.073
2021-04-06,롯데,4말,프랑코,이명기,1-1,유격수 뜬공,무사  4:1,1사  4:1,0.97,-0.258,21.1,18.6,-0.025
2021-04-06,롯데,5말,프랑코,이명기,1-2,좌익수 안타,"2사 1,3루 5:2","2사 1,2루 5:3",1.93,0.928,18.7,27.7,0.090
2021-04-06,롯데,7말,최준용,이명기,1-0,중견수 안타,2사  5:4,2사 1루 5:4,0.94,0.134,27.6,30.4,0.028
2021-04-06,롯데,9말,김원중,이명기,0-0,좌익수 뜬공,2사 2루 10:5,이닝종료 10:5,0.06,-0.344,0.2,0.0,-0.002
2021-04-07,롯데,1말,박세웅,이명기,1-1,3루수 땅볼,1사  0:0,2사  0:0,0.62,-0.180,52.6,51.0,-0.015
2021-04-07,롯데,3말,박세웅,이명기,2-0,이명기/10119 : 삼진 아웃,1사 1루 2:1,2사 1루 2:1,1.43,-0.322,43.7,40.2,-0.035
2021-04-07,롯데,5말,박세웅,이명기,0-1,2루수 땅볼,"2사 1,2루 6:1",이닝종료 6:1,0.91,-0.466,6.9,4.5,-0.024
2021-04-07,롯데,7말,구승민,이명기,1-3,볼넷,무사 1루 6:4,"무사 1,2루 6:4",2.66,0.620,28.3,38.8,0.106
2021-04-08,롯데,1말,이승헌,이명기,2-3,볼넷,무사 1루 1:0,"무사 1,2루 1:0",1.53,0.620,48.3,54.2,0.059
2021-04-08,롯데,2말,이승헌,이명기,0-0,1루수 땅볼,1사 만루 2:0,2사 만루 2:0,3.02,-0.835,45.0,36.6,-0.083
2021-04-08,롯데,4말,이승헌,이명기,2-2,우익수 뜬공,무사  4:3,1사  4:3,1.19,-0.258,42.5,39.5,-0.030
2021-04-08,롯데,5말,박진형,이명기,1-0,2루수 땅볼,2사  4:4,이닝종료 4:4,0.58,-0.117,51.5,50.0,-0.015
2021-04-08,롯데,8말,최준용,이명기,2-3,이명기/10119 : 삼진 아웃,1사  6:4,2사  6:4,1.15,-0.180,11.9,9.0,-0.029
